inn,name,revenue_year,revenue,segment_tag,source,okved_main,employees,site,description,region,contacts,rating_ref
7731420204,РУССМАРКЕТ,2024.0,1014672000.0,merchendayzing,https://companies.rbc.ru/,73.11,1 сотрудник,https://www.russ-market.ru/,Маркетинговая компания «РУССМАРКЕТ» основана в Москве в 2012 году. Обладает серьезной экспертизой в сфере комплексных маркетинговых решений,Москва,+7 (495) 161-06-66,4.5
7731420204,РУССМАРКЕТ,2024.0,1014672000.0,full-cycle,https://companies.rbc.ru/,73.11,1 сотрудник,https://www.russ-market.ru/,Маркетинговая компания «РУССМАРКЕТ» основана в Москве в 2012 году. Обладает серьезной экспертизой в сфере комплексных маркетинговых решений,Москва,+7 (495) 161-06-66,4.5
5008036720,ИНЕЛ-ДИСПЛЕЙ,2024.0,990448000.0,merchendayzing,https://companies.rbc.ru/,31.01,122  сотрудника,https://inel-display.ru,"Компания «Инел-Дисплей» (Inel Display) была основана в 1994 году и является одним из лидеров на рынке производителей и поставщиков продукции для оформления торговых залов и мерчендайзинга.
Основные направления деятельности:
Inel Display производит широкий спектр POS-изделий, оборудования для рекламы и креативные дизайнерские решения, способствующие эффективному продвижению торговых марок в местах продаж",Москва,+7 (499) 350-22-00,4.8
7300044805,СимбирСофт,,,full-cycle,https://companies.rbc.ru/,62.01,,https://www.simbirsoft.com/,"SimbirSoft («СимбирСофт») — IT-компания, создает программное обеспечение на заказ, разрабатывает продукты разной сложности от мультисайтинга до систем управления предприятием.  Компания успешно работает на рынке более 20 лет, в штате 1400+ специалистов",Ульяновск,+7 (800) 200‒99‒24,7.8
7813323882,Риалвеб,2023.0,13025261000.0,full-cycle,https://companies.rbc.ru/,73.11,449  сотрудников,https://www.realweb.ru/,"Риалвеб &#8211; одно из крупнейших интернет агентств, основанное в Санкт-Петербурге в 1998 году. Дополнительные офисы расположены в Москве и Риге",Санкт-Петербург,+7 (812) 244-08-80,8.9
7704506981,i-Media,2021.0,4487798000.0,full-cycle,https://companies.rbc.ru/,73.11,68  сотрудников,https://www.i-media.ru?utm_source=marketing-tech&amp;utm_medium=rating&amp;utm_campaign=agency-card,"i-Media – digital-агентство, которое работает в сфере интернет-маркетинга с 2003 года.
Основные услуги включают SEO, SMM, контекстную рекламу, веб-аналитику, медийную рекламу и продвижение на маркетплейсах",Москва,+7 (495) 797-55-99,8.7
7713039733,IT-Agency,2024.0,1007680000.0,full-cycle,https://companies.rbc.ru/,73.11,,https://www.it-agency.ru/?utm_source=mrktng-tch&amp;utm_medium=fixed-price&amp;utm_campaign=Kategoriya_Dzhedai%7Cs%7Cmrktng-tch%7Cm%7Cfixed-price%7Cg%7Call%7Cp%7Ccontent-marketing%7Ca%7Ckont-mar,"IT-Agency – полносервисное агентство, которое работает со всеми видами интернет услуг. Основные услуги:

Экспертный консалтинг по маркетингу и продукту",Москва,+7 (495) 646-61-37,8.3
7713039733,IT-Agency,2024.0,1007680000.0,communication,https://companies.rbc.ru/,73.11,,https://www.it-agency.ru/?utm_source=mrktng-tch&amp;utm_medium=fixed-price&amp;utm_campaign=Kategoriya_Dzhedai%7Cs%7Cmrktng-tch%7Cm%7Cfixed-price%7Cg%7Call%7Cp%7Ccontent-marketing%7Ca%7Ckont-mar,"IT-Agency – полносервисное агентство, которое работает со всеми видами интернет услуг. Основные услуги:

Экспертный консалтинг по маркетингу и продукту",Москва,+7 (495) 646-61-37,8.3
7704637631,Текарт,2024.0,128403000.0,full-cycle,https://companies.rbc.ru/,73.11,12  сотрудников,https://techart.ru/,"Компания ведет свою историю с 1999 года.
Они применяют комплексный подход, объединяющий стратегическое планирование, аналитику, создание контента, дизайн, разработку и эффективное продвижение",Москва, +7 (495) 790-75-91 ,4.7
7718969588,Капибара,2021.0,595829000.0,event,https://companies.rbc.ru/,73.11,28  сотрудников,http://kapibara.group/,"Капибара &#8211; креативное агентство в составе КБ-12, оказывающее следующий спектр услуг:

        Разработка комплексной стратегии бренда.
        Разработка и реализация комплексных акций, реализуемых по нескольким каналам с разной механикой и географией",Москва,+7 (499) 391-98-29,5.7
7703795603,ФРЕНДС ИВЕНТС,2024.0,774599000.0,event,https://companies.rbc.ru/,82.99,16  сотрудников,https://friendsevents.ru/ ,"Уже более 10 лет российская компания ФРЕНДС ИВЕНТС занимает одно из лидирующих мест в сфере корпоративных и маркетинговых коммуникаций. 
Ивент-агентство является членом Национальной Ассоциации Организаторов Мероприятий",Москва,+7 (495) 109-09-07,3.5
7702131247,Михайлов и партнеры,2019.0,1485682000.0,communication,https://companies.rbc.ru/,70.22,83  сотрудника,http://www.m-p.ru/,"«Михайлов и партнеры» консультирует лидеров российского и мирового бизнеса, помогая им взять на себя и поддерживать стратегические инициативы по укреплению репутации и управлению коммуникациями. Головной офис «Михайлов и партнеры» в Москве выступает в качестве коммуникационного центра для национальных и международных проектов, а команда в Санкт-Петербурге отвечает за поддержку клиентов в Северо-Западном федеральном округе и других регионах России",Москва,+7 (495) 956 39 72,5.7
7710711668,DOT Digital Agency,2021.0,96925000.0,full-cycle,https://companies.rbc.ru/,73.11,,https://dot.ru/complex_smm/?utm_source=marketing-tech&amp;utm_medium=website&amp;utm_campaign=nov-feb&amp;utm_content=1place,"DOT Digital Agency – одно из старейших интернет агентств на рынке. Ориентировано на рост рентабельности клиентских инвестиций, помогает предприятиям получить конкурентное преимущество, используя новейшие стратегии и тактики цифрового маркетинга",Москва,+7 (495) 771-34-04,8.2
7702833422,DADA Agency,2024.0,157409000.0,full-cycle,https://companies.rbc.ru/,73.11,14  сотрудников,https://www.dada.llc ,"DADA &#8211; Независимое агентство полного цикла для решения маркетинговых и бизнес-задач клиентов. Агентство, которое 10 лет создает эффективные digital решения для развивающихся и давно существующих на рынке клиентов",Москва,+7 (495) 374-88-14,5.8
7702833422,DADA Agency,2024.0,157409000.0,event,https://companies.rbc.ru/,73.11,14  сотрудников,https://www.dada.llc ,"DADA &#8211; Независимое агентство полного цикла для решения маркетинговых и бизнес-задач клиентов. Агентство, которое 10 лет создает эффективные digital решения для развивающихся и давно существующих на рынке клиентов",Москва,+7 (495) 374-88-14,5.8
7725344900,Marketing Arm,2021.0,769926000.0,event,https://companies.rbc.ru/,73.11,8  сотрудников,https://bbdogroup.ru/about/agency/the_marketing_arm/,"Marketing Arm &#8211; международное агентство по продвижению, где основное внимание уделяется управлению талантами, коммуникациям с селебрити. За последние годы Marketing Arm вела переговоры и заключала сделки со знаменитостями, спортсменами и представителями СМИ по всему миру и управляла талантами для различных промо-мероприятий, включая рекламные кампании, мероприятия, цифровые проекты, спонсорские программы и многое другое",Москва,+7 (495) 787-57-78,6.0
7725344900,Marketing Arm,2021.0,769926000.0,communication,https://companies.rbc.ru/,73.11,8  сотрудников,https://bbdogroup.ru/about/agency/the_marketing_arm/,"Marketing Arm &#8211; международное агентство по продвижению, где основное внимание уделяется управлению талантами, коммуникациям с селебрити. За последние годы Marketing Arm вела переговоры и заключала сделки со знаменитостями, спортсменами и представителями СМИ по всему миру и управляла талантами для различных промо-мероприятий, включая рекламные кампании, мероприятия, цифровые проекты, спонсорские программы и многое другое",Москва,+7 (495) 787-57-78,6.0
7701719237,Eventum Premo,2023.0,150418000.0,event,https://companies.rbc.ru/,73.1,9  сотрудников,https://eventum-premo.ru/,"Eventum Premo &#8211; маркетинговое и ивент-агентство с 17-летним опытом.
Миссия агентства &#8211; стереть границы между онлайн и офлайн и найти новые идеи по всему миру для коммуникации бренда и его потребителя",Москва,8 (495) 785 84 46,5.9
7720719497,LARNILANE,2017.0,288303000.0,event,https://companies.rbc.ru/,93.2,10  сотрудников,https://www.larnilane.com/,"LARNILANE — агентство событийного маркетинга с опытом работы более 13 лет. Для своих клиентов они  разрабатывают стратегии, креативные концепции, тактические решения, проводят маркетинговые, деловые, светские, корпоративные, GR и MICE мероприятия",Москва,+7 (495) 933-15-35,4.5
9701293584,iMARS,2024.0,752136000.0,communication,https://companies.rbc.ru/,70.21,35  сотрудников,http://www.imars.ru/main.php,"iMARS – одна из российских коммуникационных групп, предоставляющая полный спектр услуг в области маркетинговых коммуникаций. В отношениях с клиентами iMARS &#8211; это, прежде всего, партнер и единомышленник",Москва,+7(495)234-57-46,6.1
7707435217,UPSIDE,2021.0,163311000.0,communication,https://companies.rbc.ru/,73.11,,https://upside.pro/,"UPSIDE &#8211; это московское агентство, основанное в 2010 году, с целостным подходом к коммуникациям, которое тесно связывает традиционные и новые технологии продвижения. Позиционирование агентства: Индивидуальные решения",Москва,+7 (499) 213-03-23,4.6
7701881744,FISTASHKI,2023.0,595347000.0,communication,https://companies.rbc.ru/,73.11,39  сотрудников,https://fistashki.org/,"Fistashki — одно из топовых digital-агентств в России, предоставляющее полный спектр услуг. Успешно работают как с коммерческими проектами, так и с инициативами, направленными на социальную пользу",Москва,+7 (495) 637-69-67,4.5
7728893521,Rush Agency,2024.0,272237000.0,full-cycle,https://companies.rbc.ru/,62.09,57  сотрудников,https://www.rush-agency.ru/?utm_source=marketing-tech.ru&amp;utm_medium=katalog&amp;utm_campaign=all,"Rush Agency &#8211; Бутиковое Digital агентство, которое помогает российским и мировым брендам увеличивать продажи и укреплять лояльность клиентов с помощью маркетинга.
Агентство разрабатывает и выводит конверсионные сайты в верхние строки выдачи с помощью SEO и Платных каналов рекламы, а также создает положительную репутацию в сети, чтобы сформировать поток заинтересованных клиентов",Москва,+7 (495) 236-87-70,7.1
7731515791,IT-Agency,2023.0,199235000.0,full-cycle,https://companies.rbc.ru/,62.01,46  сотрудников,https://www.it-agency.ru/?utm_source=mrktng-tch&amp;utm_medium=fixed-price&amp;utm_campaign=Kategoriya_Dzhedai%7Cs%7Cmrktng-tch%7Cm%7Cfixed-price%7Cg%7Call%7Cp%7Ccontent-marketing%7Ca%7Ckont-mar,"IT-Agency – полносервисное агентство, которое работает со всеми видами интернет услуг. Основные услуги:

Экспертный консалтинг по маркетингу и продукту",Москва,+7 (495) 646-61-37,8.3
7731515791,IT-Agency,2023.0,199235000.0,communication,https://companies.rbc.ru/,62.01,46  сотрудников,https://www.it-agency.ru/?utm_source=mrktng-tch&amp;utm_medium=fixed-price&amp;utm_campaign=Kategoriya_Dzhedai%7Cs%7Cmrktng-tch%7Cm%7Cfixed-price%7Cg%7Call%7Cp%7Ccontent-marketing%7Ca%7Ckont-mar,"IT-Agency – полносервисное агентство, которое работает со всеми видами интернет услуг. Основные услуги:

Экспертный консалтинг по маркетингу и продукту",Москва,+7 (495) 646-61-37,8.3
7734647683,UPSIDE,2024.0,209983000.0,communication,https://companies.rbc.ru/,73.11,39  сотрудников,https://upside.pro/,"UPSIDE &#8211; это московское агентство, основанное в 2010 году, с целостным подходом к коммуникациям, которое тесно связывает традиционные и новые технологии продвижения. Позиционирование агентства: Индивидуальные решения",Москва,+7 (499) 213-03-23,4.6
7714892581,LBL,2024.0,976047000.0,btl,https://companies.rbc.ru/,73.11,8  сотрудников,https://www.lbl.ru/,"28 лет LBL CG успешно предоставляет медиа-услуги, создает и продюсирует различные мультимедийные шоу. Группа состоит из Рекламного агентства LBL и производственной компании LBL Print, имеет собственное производство и крупнейшие медиафасады",Москва,8 (495) 789-45-42,6.5
7714892581,LBL,2024.0,976047000.0,communication,https://companies.rbc.ru/,73.11,8  сотрудников,https://www.lbl.ru/,"28 лет LBL CG успешно предоставляет медиа-услуги, создает и продюсирует различные мультимедийные шоу. Группа состоит из Рекламного агентства LBL и производственной компании LBL Print, имеет собственное производство и крупнейшие медиафасады",Москва,8 (495) 789-45-42,6.5
9705067931,WIM.Agency,2024.0,224140000.0,full-cycle,https://companies.rbc.ru/,73.11,63  сотрудника,https://wim.agency/,"WIM.Agency digital-агентство, работающее на рынке с 2013 года",Москва,+7 (499) 130-40-79,4.5
7751181321,GREATIVE,2024.0,521779000.0,full-cycle,https://companies.rbc.ru/,73.11,6  сотрудников,https://greative.pro/?utm_source=marketingtech,"GREATIVE агентство полного цикла, специализирующееся на комплексных коммуникационных решениях для бизнеса. Компания предоставляет услуги в сфере PR, маркетинга и рекламы, включая разработку стратегий продвижения, сопровождение рыночных запусков брендов, анализ регуляторных требований и GR-поддержку (government relations)",Москва,+7 (495) 788-67-84,7.6
7751181321,GREATIVE,2024.0,521779000.0,event,https://companies.rbc.ru/,73.11,6  сотрудников,https://greative.pro/?utm_source=marketingtech,"GREATIVE агентство полного цикла, специализирующееся на комплексных коммуникационных решениях для бизнеса. Компания предоставляет услуги в сфере PR, маркетинга и рекламы, включая разработку стратегий продвижения, сопровождение рыночных запусков брендов, анализ регуляторных требований и GR-поддержку (government relations)",Москва,+7 (495) 788-67-84,7.6
7751181321,GREATIVE,2024.0,521779000.0,communication,https://companies.rbc.ru/,73.11,6  сотрудников,https://greative.pro/?utm_source=marketingtech,"GREATIVE агентство полного цикла, специализирующееся на комплексных коммуникационных решениях для бизнеса. Компания предоставляет услуги в сфере PR, маркетинга и рекламы, включая разработку стратегий продвижения, сопровождение рыночных запусков брендов, анализ регуляторных требований и GR-поддержку (government relations)",Москва,+7 (495) 788-67-84,7.6
9701249031,SOCIALIST,2024.0,415098000.0,event,https://companies.rbc.ru/,73.11,2  сотрудника,https://socialist.pro/,"Агентство SOCIALIST, основанное в 2010 г., разрабатывает и реализует креативные рекламные кампании для крупных российских и зарубежных брендов, оказывает услуги в сфере E-Commerce и активно развивает ESG-направление",Москва,+7 (495) 777-80-64,5.2
9701249031,SOCIALIST,2024.0,415098000.0,communication,https://companies.rbc.ru/,73.11,2  сотрудника,https://socialist.pro/,"Агентство SOCIALIST, основанное в 2010 г., разрабатывает и реализует креативные рекламные кампании для крупных российских и зарубежных брендов, оказывает услуги в сфере E-Commerce и активно развивает ESG-направление",Москва,+7 (495) 777-80-64,5.2
7717781745,Moscow Event,2023.0,270863000.0,event,https://companies.rbc.ru/,93.19,6  сотрудников,https://mskevent.com/,"Философия MOSCOW EVENT  — созидательный креатив. Создаютют неповторимое: то, что будут помнить и то, что помогает достигать поставленной цели!
Основная ценность — время клиентов, которые  могут приятно и с пользой провести ваш день, не потратив ни секунды своего драгоценного времени, так как вся организационная рутина — на MOSCOW EVENT!
Агентство работает по принципу TCS TASK – CREATIVE – SUCCESS = создают эмоции, решающие конкретные задачи клиентов, с помощью СОБЫТИЯ",Москва,+7 (495) 481-22-33,6.5
